"Tabela 5932 - Taxa de variação do índice de volume trimestral"
"Variável - Taxa trimestral (em relação ao mesmo período do ano anterior) (%)"
"Trimestre","","Setores e subsetores",""
"1º trimestre 2008","Brasil","Indústrias de transformação","9.5"
"1º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.0"
"1º trimestre 2008","Brasil","Construção","5.0"
"1º trimestre 2008","Brasil","Serviços - total","5.3"
"1º trimestre 2008","Brasil","Comércio","7.7"
"1º trimestre 2008","Brasil","Transporte, armazenagem e correio","8.8"
"1º trimestre 2008","Brasil","Informação e comunicação","9.3"
"1º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","17.0"
"1º trimestre 2008","Brasil","Atividades imobiliárias","2.8"
"1º trimestre 2008","Brasil","Outras atividades de serviços","3.7"
"1º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","-0.4"
"1º trimestre 2008","Brasil","Valor adicionado a preços básicos","5.8"
"1º trimestre 2008","Brasil","Impostos líquidos sobre produtos","8.2"
"1º trimestre 2008","Brasil","PIB a preços de mercado","6.2"
"2º trimestre 2008","Brasil","Agropecuária - total","11.1"
"2º trimestre 2008","Brasil","Indústria - total","5.2"
"2º trimestre 2008","Brasil","Indústrias extrativas","5.1"
"2º trimestre 2008","Brasil","Indústrias de transformação","6.5"
"2º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.9"
"2º trimestre 2008","Brasil","Construção","3.8"
"2º trimestre 2008","Brasil","Serviços - total","5.8"
"2º trimestre 2008","Brasil","Comércio","7.4"
"2º trimestre 2008","Brasil","Transporte, armazenagem e correio","10.7"
"2º trimestre 2008","Brasil","Informação e comunicação","9.9"
"2º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","15.9"
"2º trimestre 2008","Brasil","Atividades imobiliárias","1.5"
"2º trimestre 2008","Brasil","Outras atividades de serviços","5.5"
"2º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","0.5"
"2º trimestre 2008","Brasil","Valor adicionado a preços básicos","5.9"
"2º trimestre 2008","Brasil","Impostos líquidos sobre produtos","8.6"
"2º trimestre 2008","Brasil","PIB a preços de mercado","6.3"
"3º trimestre 2008","Brasil","Agropecuária - total","5.0"
"3º trimestre 2008","Brasil","Indústria - total","6.8"
"3º trimestre 2008","Brasil","Indústrias extrativas","7.6"
"3º trimestre 2008","Brasil","Indústrias de transformação","6.9"
"3º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.6"
"3º trimestre 2008","Brasil","Construção","7.2"
"3º trimestre 2008","Brasil","Serviços - total","6.2"
"3º trimestre 2008","Brasil","Comércio","9.2"
"3º trimestre 2008","Brasil","Transporte, armazenagem e correio","11.1"
"3º trimestre 2008","Brasil","Informação e comunicação","10.8"
"3º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","13.6"
"3º trimestre 2008","Brasil","Atividades imobiliárias","1.5"
"3º trimestre 2008","Brasil","Outras atividades de serviços","6.1"
"3º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","0.9"
"3º trimestre 2008","Brasil","Valor adicionado a preços básicos","6.3"
"3º trimestre 2008","Brasil","Impostos líquidos sobre produtos","11.0"
"3º trimestre 2008","Brasil","PIB a preços de mercado","7.0"
"4º trimestre 2008","Brasil","Agropecuária - total","0.8"
"4º trimestre 2008","Brasil","Indústria - total","-2.3"
"4º trimestre 2008","Brasil","Indústrias extrativas","-0.2"
"4º trimestre 2008","Brasil","Indústrias de transformação","-5.2"
"4º trimestre 2008","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","2.8"
"4º trimestre 2008","Brasil","Construção","3.5"
"4º trimestre 2008","Brasil","Serviços - total","2.1"
"4º trimestre 2008","Brasil","Comércio","-2.5"
"4º trimestre 2008","Brasil","Transporte, armazenagem e correio","0.3"
"4º trimestre 2008","Brasil","Informação e comunicação","9.1"
"4º trimestre 2008","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.4"
"4º trimestre 2008","Brasil","Atividades imobiliárias","-0.2"
"4º trimestre 2008","Brasil","Outras atividades de serviços","3.6"
"4º trimestre 2008","Brasil","Administração, saúde e educação públicas e seguridade social","1.5"
"4º trimestre 2008","Brasil","Valor adicionado a preços básicos","0.8"
"4º trimestre 2008","Brasil","Impostos líquidos sobre produtos","2.4"
"4º trimestre 2008","Brasil","PIB a preços de mercado","1.0"
"1º trimestre 2009","Brasil","Agropecuária - total","-1.4"
"1º trimestre 2009","Brasil","Indústria - total","-10.8"
"1º trimestre 2009","Brasil","Indústrias extrativas","-5.6"
"1º trimestre 2009","Brasil","Indústrias de transformação","-16.2"
"1º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","-2.4"
"1º trimestre 2009","Brasil","Construção","-0.6"
"1º trimestre 2009","Brasil","Serviços - total","1.0"
"1º trimestre 2009","Brasil","Comércio","-7.5"
"1º trimestre 2009","Brasil","Transporte, armazenagem e correio","-7.0"
"1º trimestre 2009","Brasil","Informação e comunicação","2.4"
"1º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.6"
"1º trimestre 2009","Brasil","Atividades imobiliárias","1.7"
"1º trimestre 2009","Brasil","Outras atividades de serviços","3.2"
"1º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.1"
"1º trimestre 2009","Brasil","Valor adicionado a preços básicos","-2.3"
"1º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-3.2"
"1º trimestre 2009","Brasil","PIB a preços de mercado","-2.4"
"2º trimestre 2009","Brasil","Agropecuária - total","-5.5"
"2º trimestre 2009","Brasil","Indústria - total","-8.0"
"2º trimestre 2009","Brasil","Indústrias extrativas","-4.6"
"2º trimestre 2009","Brasil","Indústrias de transformação","-13.5"
"2º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","1.3"
"2º trimestre 2009","Brasil","Construção","4.8"
"2º trimestre 2009","Brasil","Serviços - total","0.7"
"2º trimestre 2009","Brasil","Comércio","-5.6"
"2º trimestre 2009","Brasil","Transporte, armazenagem e correio","-8.6"
"2º trimestre 2009","Brasil","Informação e comunicação","1.0"
"2º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.7"
"2º trimestre 2009","Brasil","Atividades imobiliárias","2.2"
"2º trimestre 2009","Brasil","Outras atividades de serviços","1.6"
"2º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.0"
"2º trimestre 2009","Brasil","Valor adicionado a preços básicos","-2.0"
"2º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-3.2"
"2º trimestre 2009","Brasil","PIB a preços de mercado","-2.2"
"3º trimestre 2009","Brasil","Agropecuária - total","-7.5"
"3º trimestre 2009","Brasil","Indústria - total","-5.8"
"3º trimestre 2009","Brasil","Indústrias extrativas","-3.6"
"3º trimestre 2009","Brasil","Indústrias de transformação","-10.5"
"3º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","0.4"
"3º trimestre 2009","Brasil","Construção","7.1"
"3º trimestre 2009","Brasil","Serviços - total","1.4"
"3º trimestre 2009","Brasil","Comércio","-3.7"
"3º trimestre 2009","Brasil","Transporte, armazenagem e correio","-5.4"
"3º trimestre 2009","Brasil","Informação e comunicação","-0.8"
"3º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.7"
"3º trimestre 2009","Brasil","Atividades imobiliárias","2.5"
"3º trimestre 2009","Brasil","Outras atividades de serviços","2.6"
"3º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","3.3"
"3º trimestre 2009","Brasil","Valor adicionado a preços básicos","-1.1"
"3º trimestre 2009","Brasil","Impostos líquidos sobre produtos","-1.6"
"3º trimestre 2009","Brasil","PIB a preços de mercado","-1.2"
"4º trimestre 2009","Brasil","Agropecuária - total","1.1"
"4º trimestre 2009","Brasil","Indústria - total","5.7"
"4º trimestre 2009","Brasil","Indústrias extrativas","5.4"
"4º trimestre 2009","Brasil","Indústrias de transformação","3.3"
"4º trimestre 2009","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.5"
"4º trimestre 2009","Brasil","Construção","16.1"
"4º trimestre 2009","Brasil","Serviços - total","5.1"
"4º trimestre 2009","Brasil","Comércio","7.4"
"4º trimestre 2009","Brasil","Transporte, armazenagem e correio","3.7"
"4º trimestre 2009","Brasil","Informação e comunicação","-2.3"
"4º trimestre 2009","Brasil","Atividades financeiras, de seguros e serviços relacionados","11.3"
"4º trimestre 2009","Brasil","Atividades imobiliárias","5.6"
"4º trimestre 2009","Brasil","Outras atividades de serviços","4.5"
"4º trimestre 2009","Brasil","Administração, saúde e educação públicas e seguridade social","4.2"
"4º trimestre 2009","Brasil","Valor adicionado a preços básicos","5.0"
"4º trimestre 2009","Brasil","Impostos líquidos sobre produtos","6.8"
"4º trimestre 2009","Brasil","PIB a preços de mercado","5.3"
"1º trimestre 2010","Brasil","Agropecuária - total","6.9"
"1º trimestre 2010","Brasil","Indústria - total","15.3"
"1º trimestre 2010","Brasil","Indústrias extrativas","15.4"
"1º trimestre 2010","Brasil","Indústrias de transformação","15.9"
"1º trimestre 2010","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","8.5"
"1º trimestre 2010","Brasil","Construção","19.6"
"1º trimestre 2010","Brasil","Serviços - total","6.2"
"1º trimestre 2010","Brasil","Comércio","15.9"
"1º trimestre 2010","Brasil","Transporte, armazenagem e correio","13.1"
"1º trimestre 2010","Brasil","Informação e comunicação","3.0"
"1º trimestre 2010","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.2"
"1º trimestre 2010","Brasil","Atividades imobiliárias","4.8"
"1º trimestre 2010","Brasil","Outras atividades de serviços","2.7"
"1º trimestre 2010","Brasil","Administração, saúde e educação públicas e seguridade social","2.5"
"1º trimestre 2010","Brasil","Valor adicionado a preços básicos","8.5"
"1º trimestre 2010","Brasil","Impostos líquidos sobre produtos","13.5"
"1º trimestre 2010","Brasil","PIB a preços de mercado","9.2"
"2º trimestre 2010","Brasil","Agropecuária - total","10.1"
"2º trimestre 2010","Brasil","Indústria - total","13.0"
"2º trimestre 2010","Brasil","Indústrias extrativas","15.6"
"2º trimestre 2010","Brasil","Indústrias de transformação","12.1"
"2º trimestre 2010","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","7.3"
"2º trimestre 2010","Brasil","Construção","18.0"
"2º trimestre 2010","Brasil","Serviços - total","6.0"
"2º trimestre 2010","Brasil","Comércio","12.1"
"2º trimestre 2010","Brasil","Transporte, armazenagem e correio","13.3"
"2º trimestre 2010","Brasil","Informação e comunicação","5.0"
"2º trimestre 2010","Brasil","Atividades financeiras, de seguros e serviços relacionados","7.9"
"2º trimestre 2010","Brasil","Atividades imobiliárias","5.4"
"2º trimestre 2010","Brasil","Outras atividades de serviços","3.3"
"2º trimestre 2010","Brasil","Administração, saúde e educação públicas e seguridade social","2.5"
"2º trimestre 2010","Brasil","Valor adicionado a preços básicos","8.0"
"2º trimestre 2010","Brasil","Impostos líquidos sobre produtos","11.4"
"2º trimestre 2010","Brasil","PIB a preços de mercado","8.5"
"3º trimestre 2010","Brasil","Agropecuária - total","5.5"
"3º trimestre 2010","Brasil","Indústria - total","8.3"
"3º trimestre 2010","Brasil","Indústrias extrativas","14.4"
"3º trimestre 2010","Brasil","Indústrias de transformação","7.1"
"3º trimestre 2010","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.1"
"3º trimestre 2010","Brasil","Construção","9.3"
"3º trimestre 2010","Brasil","Serviços - total","5.7"
"3º trimestre 2010","Brasil","Comércio","9.8"
"3º trimestre 2010","Brasil","Transporte, armazenagem e correio","11.2"
"3º trimestre 2010","Brasil","Informação e comunicação","6.4"
"3º trimestre 2010","Brasil","Atividades financeiras, de seguros e serviços relacionados","9.8"
"3º trimestre 2010","Brasil","Atividades imobiliárias","5.0"
"3º trimestre 2010","Brasil","Outras atividades de serviços","3.1"
"3º trimestre 2010","Brasil","Administração, saúde e educação públicas e seguridade social","2.2"
"3º trimestre 2010","Brasil","Valor adicionado a preços básicos","6.4"
"3º trimestre 2010","Brasil","Impostos líquidos sobre produtos","10.1"
"3º trimestre 2010","Brasil","PIB a preços de mercado","6.9"
"4º trimestre 2010","Brasil","Agropecuária - total","3.1"
"4º trimestre 2010","Brasil","Indústria - total","5.4"
"4º trimestre 2010","Brasil","Indústrias extrativas","14.2"
"4º trimestre 2010","Brasil","Indústrias de transformação","3.4"
"4º trimestre 2010","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","3.5"
"4º trimestre 2010","Brasil","Construção","7.4"
"4º trimestre 2010","Brasil","Serviços - total","5.3"
"4º trimestre 2010","Brasil","Comércio","7.6"
"4º trimestre 2010","Brasil","Transporte, armazenagem e correio","7.7"
"4º trimestre 2010","Brasil","Informação e comunicação","6.9"
"4º trimestre 2010","Brasil","Atividades financeiras, de seguros e serviços relacionados","11.2"
"4º trimestre 2010","Brasil","Atividades imobiliárias","4.4"
"4º trimestre 2010","Brasil","Outras atividades de serviços","3.9"
"4º trimestre 2010","Brasil","Administração, saúde e educação públicas e seguridade social","1.8"
"4º trimestre 2010","Brasil","Valor adicionado a preços básicos","5.2"
"4º trimestre 2010","Brasil","Impostos líquidos sobre produtos","8.6"
"4º trimestre 2010","Brasil","PIB a preços de mercado","5.7"
"1º trimestre 2011","Brasil","Agropecuária - total","5.4"
"1º trimestre 2011","Brasil","Indústria - total","5.7"
"1º trimestre 2011","Brasil","Indústrias extrativas","4.3"
"1º trimestre 2011","Brasil","Indústrias de transformação","4.9"
"1º trimestre 2011","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","4.6"
"1º trimestre 2011","Brasil","Construção","8.6"
"1º trimestre 2011","Brasil","Serviços - total","4.7"
"1º trimestre 2011","Brasil","Comércio","4.5"
"1º trimestre 2011","Brasil","Transporte, armazenagem e correio","6.6"
"1º trimestre 2011","Brasil","Informação e comunicação","6.1"
"1º trimestre 2011","Brasil","Atividades financeiras, de seguros e serviços relacionados","8.1"
"1º trimestre 2011","Brasil","Atividades imobiliárias","3.7"
"1º trimestre 2011","Brasil","Outras atividades de serviços","5.6"
"1º trimestre 2011","Brasil","Administração, saúde e educação públicas e seguridade social","2.4"
"1º trimestre 2011","Brasil","Valor adicionado a preços básicos","4.9"
"1º trimestre 2011","Brasil","Impostos líquidos sobre produtos","6.8"
"1º trimestre 2011","Brasil","PIB a preços de mercado","5.2"
"2º trimestre 2011","Brasil","Agropecuária - total","0.7"
"2º trimestre 2011","Brasil","Indústria - total","5.1"
"2º trimestre 2011","Brasil","Indústrias extrativas","3.6"
"2º trimestre 2011","Brasil","Indústrias de transformação","4.4"
"2º trimestre 2011","Brasil","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos","6.0"
"2º trimestre 2011","Brasil","Construção","7.3"
"2º trimestre 2011","Brasil","Serviços - total","4.3"
"2º trimestre 2011","Brasil","Comércio","4.2"
"2º trimestre 2011","Brasil","Transporte, armazenagem e correio","4.7"
"2º trimestre 2011","Brasil","Informação e comunicação","7.1"
