"Mês","Região","Variável","Indústria geral","Indústrias extrativas","Indústrias de transformação"
"junho 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.4","5.7","0.1"
"junho 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","12.9","9.5","13.1"
"junho 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.1","1.9","8.4"
"junho 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","4.3","3.1","4.4"
"julho 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","104.98271","87.80299","106.10340"
"julho 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","101.21889","84.46390","102.40740"
"julho 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.7","0.6","0.9"
"julho 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","10.8","7.4","10.9"
"julho 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.5","2.7","8.8"
"julho 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","5.5","3.8","5.5"
"agosto 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.37683","91.35267","108.42550"
"agosto 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.23375","88.59761","103.14880"
"agosto 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","1.0","4.9","0.7"
"agosto 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","12.9","7.6","13.2"
"agosto 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","9.0","3.3","9.4"
"agosto 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","6.8","4.1","6.9"
"setembro 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","107.36306","87.43000","108.65821"
"setembro 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.72607","86.68931","103.81937"
"setembro 2004","Brasil","PIMPF - Variação mês/mês imediatamente anterior, com ajuste sazonal (M/M-1) (%)","0.5","-2.2","0.7"
"setembro 2004","Brasil","PIMPF - Variação mês/mesmo mês do ano anterior (M/M-12) (%)","7.6","6.4","7.6"
"setembro 2004","Brasil","PIMPF - Variação acumulada no ano (em relação ao mesmo período do ano anterior) (%)","8.9","3.7","9.2"
"setembro 2004","Brasil","PIMPF - Variação acumulada em 12 meses (em relação ao período anterior de 12 meses) (%)","7.1","4.2","7.2"
"outubro 2004","Brasil","PIMPF - Número-índice (2022=100) (Número-índice)","108.93971","89.89885","110.17916"
"outubro 2004","Brasil","PIMPF - Número-índice com ajuste sazonal (2022=100) (Número-índice)","102.10544","87.41792","103.11133"
